date,actual,feature_restricted_24,feature_direct,feature_recursive,feature_cov_lagged,feature_cov_realised,DIAGNOSTIC_1step_ahead,window,step
2016-05-13 18:00:00,348.3333333333333,206.60410510574985,275.84815090544333,275.84815090544333,186.97071190239282,198.88963148115582,275.84815090544333,1,1
2016-05-13 19:00:00,208.33333333333331,178.98315267829614,147.02514549580388,212.613550801795,169.10502882513393,141.66688216580255,182.17771851996798,1,2
2016-05-13 20:00:00,120.0,173.48307146543024,127.52094536812797,159.64129367958796,172.21700956452793,171.00573914545322,171.8596346590432,1,3
2016-05-13 21:00:00,63.333333333333336,77.2094024815716,82.76896696840763,118.58410527253933,72.83544487433538,84.44746464878014,127.30026346392397,1,4
2016-05-13 22:00:00,55.0,67.24112538998494,47.94219540385999,91.02881153425841,58.18520728847806,61.30134482786324,68.57020613734394,1,5
2016-05-13 23:00:00,61.66666666666666,64.70118858126708,47.16852874300456,64.94537481913365,62.54522510907709,57.52151010390415,54.54546331468802,1,6
2016-05-14 00:00:00,58.333333333333336,52.268290845113874,49.00276272950934,54.43760634065182,55.52580381402529,62.23051764839228,51.58337518529365,1,7
2016-05-14 01:00:00,63.333333333333336,56.49499515699178,48.74794528127784,49.285948529563676,53.08156272653312,56.99774396144842,49.52758816673393,1,8
2016-05-14 02:00:00,60.0,56.246139193488965,49.17320228811025,51.840636419526724,51.49634428152188,47.51483560350227,58.237870970100474,1,9
2016-05-14 03:00:00,60.0,58.320998885168585,45.5986280368057,49.91982404528463,61.637325468341665,70.30556496239161,58.24452023297604,1,10
2016-05-14 04:00:00,60.0,58.25211592685795,48.99535542671922,50.75539375319157,62.245646932367386,72.2395499499401,61.823093495887974,1,11
2016-05-14 05:00:00,56.66666666666666,58.301436551295055,44.715662053641616,52.54940698063418,62.76666402081525,77.98988028900668,60.54555166747028,1,12
2016-05-14 06:00:00,63.333333333333336,122.82705782027577,78.45149280632512,78.96877904270254,119.55735139976737,130.56516235186717,78.42122005498136,1,13
2016-05-14 07:00:00,113.33333333333331,160.0497923628687,123.45687065879251,131.91679286722595,182.2886722818968,176.89347149643822,126.2372482303075,1,14
2016-05-14 08:00:00,133.33333333333334,152.47143318201114,132.7097334161056,127.37115071497654,153.52524848555265,156.46145508605764,126.09090444346101,1,15
2016-05-14 09:00:00,118.33333333333331,191.69225666727363,169.05965436610668,161.34194670274624,209.3678220074618,195.63294129881078,157.18520351229543,1,16
2016-05-14 10:00:00,158.33333333333334,215.35248288679333,203.2892523782607,146.1693879022521,217.23718851516463,195.89994903351814,130.42745305687015,1,17
2016-05-14 11:00:00,96.66666666666669,182.12299231644855,185.70842904522604,103.14583016127968,188.76280473653972,151.28970903956755,128.50114297612913,1,18
2016-05-14 12:00:00,116.66666666666669,197.95103325971306,234.50988866312926,140.08420768610443,185.424855968783,140.9837353641228,137.51877969582011,1,19
2016-05-14 13:00:00,113.33333333333331,143.50824139722383,202.35307897338689,137.94151415249223,175.55923648130488,111.87742080862724,133.13217604488224,1,20
2016-05-14 14:00:00,106.66666666666669,141.50756523027528,151.12144024656993,128.194363090808,138.5930132188721,101.12231159661637,136.457971811634,1,21
2016-05-14 15:00:00,130.0,159.7128200101261,152.20969012087207,116.18431457648586,147.80205479893525,91.18742205594289,121.18424614948442,1,22
2016-05-14 16:00:00,111.66666666666669,110.51110528220414,126.83536289935462,126.86044258178639,113.15998544132918,82.16029623818594,146.32839881960322,1,23
2016-05-14 17:00:00,241.66666666666663,172.0627343463059,172.0627343463059,171.53777552899547,147.5809710186825,129.30574549265083,166.78029448862938,1,24
2016-05-14 18:00:00,166.66666666666666,193.33993828638125,181.01411003399136,181.01411003399136,185.63287959372002,156.6245624763722,181.01411003399136,2,1
2016-05-14 19:00:00,90.0,153.70931857335404,132.4307346523586,170.66777130581002,174.78491142637665,121.13224334059112,178.10732277283032,2,2
2016-05-14 20:00:00,86.66666666666667,145.47007787545297,105.97717745080061,118.66056751582201,129.81705175479638,110.05896845584026,102.55113454356342,2,3
2016-05-14 21:00:00,75.0,110.67669923469299,67.7505538978562,69.27324955679849,90.0312991369178,56.552620438016774,67.19728929401049,2,4
2016-05-14 22:00:00,61.66666666666666,94.11482331587632,53.02889176819999,61.289880662224974,84.31171933631916,67.11619789742005,57.87001193512417,2,5
2016-05-14 23:00:00,48.333333333333336,82.8415257694078,51.806769796444186,54.00008836405948,74.63082386949398,73.11953677569821,52.63051667220061,2,6
2016-05-15 00:00:00,53.333333333333336,55.711730098770985,45.76265772232975,49.64219583685023,58.1812192710515,69.39107623516828,49.60477702507535,2,7
2016-05-15 01:00:00,55.0,56.60727792954835,50.9236130940784,50.10551239479705,89.45572768191445,56.8669489734324,49.29119674884022,2,8
2016-05-15 02:00:00,51.66666666666666,59.93664636486969,47.026961446141584,50.41170759225026,63.181242446492035,59.42345572746991,50.00241566207753,2,9
2016-05-15 03:00:00,40.0,59.409293475965825,47.83993341592542,50.338622521341115,57.004471713495796,58.22471184996245,49.94704275452782,2,10
2016-05-15 04:00:00,51.66666666666666,57.87881802335765,52.96194930568456,50.461469413710674,62.24901839805116,57.736109535906024,49.350881366348005,2,11
2016-05-15 05:00:00,56.66666666666666,60.533050840286755,53.3104448384771,56.34445619728284,64.50262800779844,61.690169937689504,50.642801162318534,2,12
2016-05-15 06:00:00,51.66666666666666,77.10856445715062,70.26227471688854,84.70179109494315,87.3547739956513,99.07805934870065,74.3449105285364,2,13
2016-05-15 07:00:00,93.33333333333331,109.23675029202333,98.49990221479321,127.4526792041748,95.47250905634624,110.90028239915502,74.26062245773949,2,14
2016-05-15 08:00:00,118.33333333333331,134.6804220697492,162.0891306619864,177.36868639115272,121.54226107558503,119.86809088219184,168.80666257055938,2,15
2016-05-15 09:00:00,101.66666666666669,133.6700914288227,114.21254766055331,152.02012321275598,109.96167455101838,149.39729523058602,140.96434130861977,2,16
2016-05-15 10:00:00,108.33333333333331,148.19457632791105,130.62884663851736,152.449699901444,110.24961195857053,143.59478404864728,134.4668483612134,2,17
2016-05-15 11:00:00,105.0,130.41565438193982,132.78241978460457,121.8212413350812,143.0335499573514,114.36707300021608,115.71635156329148,2,18
2016-05-15 12:00:00,96.66666666666669,87.01642740667644,139.71073802702878,118.6661119746892,84.8062817405488,94.84440960794049,105.05962807735104,2,19
2016-05-15 13:00:00,136.66666666666666,70.35428542256392,134.4918091293551,113.62581935658173,72.65794016180101,67.14110003826464,100.62897160437052,2,20
2016-05-15 14:00:00,88.33333333333333,76.82347942183979,104.39892815247863,105.68750519808033,70.07695092945097,101.17112485704577,118.33693962506129,2,21
2016-05-15 15:00:00,93.33333333333331,83.25897343869765,113.958494230973,103.14649751983252,72.35808450239092,79.13355061857024,121.10910795116077,2,22
2016-05-15 16:00:00,143.33333333333334,115.27704735886864,138.72040157557515,120.65337155712992,88.54638607965515,126.64241685293554,122.01003661790034,2,23
2016-05-15 17:00:00,236.66666666666663,128.41535009200211,128.41535009200211,171.2865361458565,136.22549327279893,188.97916772838653,179.79445005980648,2,24
2016-05-15 18:00:00,98.33333333333331,193.9364535357716,236.67187537340948,236.67187537340948,156.03278376891703,200.54809786827724,236.67187537340948,3,1
2016-05-15 19:00:00,96.66666666666669,99.375852513887,94.03697356375626,141.36958625831178,105.15197175411745,108.44314737023485,138.65448953834,3,2
2016-05-15 20:00:00,246.66666666666663,99.56012809497173,105.07223182556969,105.60919019506852,71.13211918188408,111.69644306647315,86.13530145067637,3,3
2016-05-15 21:00:00,203.33333333333331,86.17488759871874,77.70406138517427,84.70628531699487,83.10015379052227,105.42060459515403,116.21865517961989,3,4
2016-05-15 22:00:00,86.66666666666667,51.38664737981729,49.80042098677779,57.196625920089495,50.23794426177882,63.27438620333922,115.3452579962879,3,5
2016-05-15 23:00:00,83.33333333333333,49.64005354090168,58.796459743854626,51.92576096250872,50.38651560306079,61.06101394618776,74.53537503582393,3,6
2016-05-16 00:00:00,61.66666666666666,53.7098698482697,48.02993824527218,50.414930186475765,46.6239840867682,58.13876267395277,67.54310403236339,3,7
2016-05-16 01:00:00,53.333333333333336,61.7788026915381,59.06126272321846,52.72799898516054,58.19583498348776,63.11324506999649,53.59597454508063,3,8
2016-05-16 02:00:00,56.66666666666666,57.70013277894305,55.986689344058206,52.810674289431475,47.462206479344566,64.07498302316617,54.60445621743792,3,9
2016-05-16 03:00:00,53.333333333333336,53.87213606242519,48.19148647162658,54.851717654067315,40.688529551592694,58.430733731018286,55.26943890203896,3,10
2016-05-16 04:00:00,55.0,54.66792844666307,47.8198497317897,56.11344395525877,40.30780966618328,59.5647069278433,51.8314473015012,3,11
2016-05-16 05:00:00,51.66666666666666,53.7146892580544,62.78992393095166,66.49944301744002,61.52861395927656,65.76683452120626,62.773634675478824,3,12
2016-05-16 06:00:00,53.333333333333336,92.63566301604017,70.55780109685372,81.84398286744347,83.03744653312926,103.88600449371198,61.42844496263421,3,13
2016-05-16 07:00:00,61.66666666666666,83.8191368996481,71.51811418841564,120.12778899352011,75.71433292517789,122.52004349676096,90.71721851073627,3,14
2016-05-16 08:00:00,88.33333333333333,92.64922806756351,87.45328286298975,107.28530069639346,76.62788448950253,137.92945224079952,100.50218320411814,3,15
2016-05-16 09:00:00,70.0,109.81627782438696,74.38893347255373,135.51210269954763,99.24051097569132,152.35872723191915,104.61502303962476,3,16
2016-05-16 10:00:00,148.33333333333334,105.50540093203591,80.99122869176367,102.93840635291423,82.86614655201382,174.54368893014237,102.28168636214163,3,17
2016-05-16 11:00:00,103.33333333333331,124.10367129230225,98.50884577643583,132.16005850678158,85.60106824517005,152.65061238140777,118.3830286268862,3,18
2016-05-16 12:00:00,206.66666666666663,120.83485736231997,162.03664707127484,103.76297886651305,82.83269952678575,165.35691465746643,145.12780392999332,3,19
2016-05-16 13:00:00,266.6666666666667,147.21856612012076,131.61975472832606,120.20970547593787,119.54374720839871,150.6413403692813,116.64474141875971,3,20
2016-05-16 14:00:00,88.33333333333333,130.61043384005177,92.0818933360465,109.25753277127323,85.62629764267955,109.64756617621936,183.56730674683178,3,21
2016-05-16 15:00:00,111.66666666666669,118.53128052939064,89.01477655575324,110.44903224712007,82.93732367436345,105.3838148245844,138.57281742219385,3,22
2016-05-16 16:00:00,88.33333333333333,137.27942426027445,114.09504017097909,130.58260229671825,98.34059727886067,175.69034425687477,127.3470118961953,3,23
2016-05-16 17:00:00,243.33333333333331,175.68490641168793,175.68490641168793,234.08563790193745,185.9335598444831,145.80925667662666,146.7444206140478,3,24
2016-05-16 18:00:00,155.0,150.94587745119307,167.55539051721473,167.55539051721473,151.38111179195607,151.7508193430487,167.55539051721473,4,1
2016-05-16 19:00:00,115.0,102.37324732199208,113.57172102432229,133.64345199006212,112.44841874215695,108.87372073647916,114.87590902831226,4,2
2016-05-16 20:00:00,96.66666666666669,106.41722286855573,103.17215064319402,131.66129112692352,109.07041970462363,146.7368987526524,129.52870696969092,4,3
2016-05-16 21:00:00,68.33333333333333,80.73455355441043,76.95880769776836,87.55633908599214,86.12087635309709,114.19905212345849,80.13000556120512,4,4
2016-05-16 22:00:00,46.66666666666666,61.25742889089628,64.39775484249824,81.55877765876309,63.67269892086535,96.50680848040763,86.15689175304475,4,5
2016-05-16 23:00:00,60.0,71.01081975384793,69.78413089930504,74.10986689026421,61.16298193138021,88.49281095491611,58.85411244597033,4,6
2016-05-17 00:00:00,50.0,51.78984198234607,45.15006022938872,58.57120462068593,45.421473403892776,61.01560673272712,52.7192928699,4,7
2016-05-17 01:00:00,55.0,53.85855388569888,50.18581283712449,50.94204025240474,47.83410995895041,59.795218377024376,51.008874080534035,4,8
2016-05-17 02:00:00,51.66666666666666,51.59945395877188,48.47728328605491,50.62579042751043,70.46903442288901,64.34679553285511,50.83583622176985,4,9
2016-05-17 03:00:00,53.333333333333336,50.387003190035806,52.91908503835622,50.40201248452837,62.162914055905105,65.98454567243725,50.72326801658715,4,10
2016-05-17 04:00:00,53.333333333333336,49.33878315296871,52.7270282841051,50.364868206802385,80.76986449019812,64.70345020670989,50.99048112431944,4,11
2016-05-17 05:00:00,58.333333333333336,56.22426735233276,69.02235858192964,59.834675857724534,94.17617614070396,62.978842045330715,59.6972455966079,4,12
2016-05-17 06:00:00,56.66666666666666,57.27227035907015,57.65305939015847,68.38878876306596,64.05710880079755,116.90227791796023,78.77293936680067,4,13
2016-05-17 07:00:00,65.0,51.28346201633477,63.92051525533154,89.51280306876617,49.127713656283234,144.15147077218603,81.96203269808275,4,14
2016-05-17 08:00:00,56.66666666666666,54.55996660175233,72.06933074371531,92.51362311701632,48.60879783198715,120.78123465901443,89.90530526140522,4,15
2016-05-17 09:00:00,51.66666666666666,58.17875706408373,60.974982200254104,82.78688250467978,56.5945051170845,126.37584754894708,63.69808003705502,4,16
2016-05-17 10:00:00,53.333333333333336,83.61259053674559,103.57755951155809,93.98853116512963,78.64796976501025,128.4063151949366,62.35536948708083,4,17
2016-05-17 11:00:00,51.66666666666666,105.57590856650914,97.5502320246909,83.77374222926186,53.2079330138626,107.27678323621582,63.67073399722576,4,18
2016-05-17 12:00:00,53.333333333333336,103.06273386805128,143.6402998456692,88.75061037540998,58.371815392461485,94.56806572882779,58.573359373299496,4,19
2016-05-17 13:00:00,41.66666666666666,118.99596582402378,123.8964243192194,89.33874480949379,59.66938260003972,98.87102616183577,65.63620068837915,4,20
2016-05-17 14:00:00,53.333333333333336,89.22198409273844,102.26505365180522,85.75404805987152,65.47152107802869,115.6432909379376,52.830581734712894,4,21
2016-05-17 15:00:00,51.66666666666666,80.85425315628487,100.55270112707343,84.22198716447227,61.33616198798196,95.42909965129573,56.51628558728393,4,22
2016-05-17 16:00:00,66.66666666666667,72.6205965577522,85.60074983269965,86.39972448856375,51.66635405029181,100.59866882282745,56.25618242697363,4,23
2016-05-17 17:00:00,153.33333333333334,169.1803806473337,169.1803806473337,155.6756423310846,159.23882881447017,120.93222028491338,124.1398225629054,4,24
2016-05-17 18:00:00,100.0,175.109306486231,139.67581747649146,139.67581747649146,137.32511453617397,184.3403932286166,139.67581747649146,5,1
2016-05-17 19:00:00,123.33333333333331,93.85987297578723,124.3199642776196,104.98230686467703,93.4525428705185,122.58510109627333,130.511946033158,5,2
2016-05-17 20:00:00,118.33333333333331,76.77479316775326,87.56590631032095,105.94098056433687,81.81859356888646,90.51814664560561,101.13859961125674,5,3
