date,actual,chronos_bolt_base,window,step,q0100,q0500,q0900
2016-05-13 18:00:00,348.3333333333333,175.4259,1,1,108.46324,175.4259,295.16476
2016-05-13 19:00:00,208.33333333333331,118.322556,1,2,72.6418,118.322556,218.74911
2016-05-13 20:00:00,120.0,91.89833,1,3,62.70502,91.89833,166.82808
2016-05-13 21:00:00,63.333333333333336,69.911766,1,4,54.192856,69.911766,120.88333
2016-05-13 22:00:00,55.0,62.173805,1,5,52.341213,62.173805,95.28961
2016-05-13 23:00:00,61.66666666666666,57.60488,1,6,50.42503,57.60488,79.41969
2016-05-14 00:00:00,58.333333333333336,56.2216,1,7,49.19078,56.2216,71.80932
2016-05-14 01:00:00,63.333333333333336,56.02538,1,8,48.61587,56.02538,69.418175
2016-05-14 02:00:00,60.0,54.221478,1,9,47.07744,54.221478,69.24739
2016-05-14 03:00:00,60.0,52.900063,1,10,45.979626,52.900063,72.91605
2016-05-14 04:00:00,60.0,51.73277,1,11,43.54922,51.73277,83.76749
2016-05-14 05:00:00,56.66666666666666,55.555256,1,12,40.805023,55.555256,108.759125
2016-05-14 06:00:00,63.333333333333336,64.77609,1,13,39.39184,64.77609,145.32666
2016-05-14 07:00:00,113.33333333333331,93.36205,1,14,48.02808,93.36205,209.005
2016-05-14 08:00:00,133.33333333333334,134.95712,1,15,66.009315,134.95712,286.525
2016-05-14 09:00:00,118.33333333333331,165.1442,1,16,75.05879,165.1442,346.89902
2016-05-14 10:00:00,158.33333333333334,196.42291,1,17,86.51536,196.42291,404.3412
2016-05-14 11:00:00,96.66666666666669,210.55342,1,18,95.29886,210.55342,431.4503
2016-05-14 12:00:00,116.66666666666669,193.48502,1,19,87.45755,193.48502,412.61417
2016-05-14 13:00:00,113.33333333333331,173.20914,1,20,78.10272,173.20914,384.14862
2016-05-14 14:00:00,106.66666666666669,164.57495,1,21,74.247955,164.57495,366.81915
2016-05-14 15:00:00,130.0,166.27487,1,22,74.54424,166.27487,364.07324
2016-05-14 16:00:00,111.66666666666669,187.01389,1,23,90.93181,187.01389,377.9888
2016-05-14 17:00:00,241.66666666666663,173.64587,1,24,85.469475,173.64587,346.5726
2016-05-14 18:00:00,166.66666666666666,163.49292,2,1,111.26238,163.49292,252.73885
2016-05-14 19:00:00,90.0,115.844696,2,2,79.903824,115.844696,190.89236
2016-05-14 20:00:00,86.66666666666667,90.33307,2,3,67.970924,90.33307,145.58386
2016-05-14 21:00:00,75.0,71.4002,2,4,59.023125,71.4002,108.94062
2016-05-14 22:00:00,61.66666666666666,60.02233,2,5,52.728165,60.02233,83.44046
2016-05-14 23:00:00,48.333333333333336,58.393047,2,6,51.364586,58.393047,73.42102
2016-05-15 00:00:00,53.333333333333336,56.13819,2,7,49.921307,56.13819,66.364525
2016-05-15 01:00:00,55.0,56.012127,2,8,49.71611,56.012127,66.32938
2016-05-15 02:00:00,51.66666666666666,54.70077,2,9,49.221806,54.70077,66.72632
2016-05-15 03:00:00,40.0,52.901516,2,10,47.839134,52.901516,68.62215
2016-05-15 04:00:00,51.66666666666666,52.801315,2,11,46.755497,52.801315,76.042175
2016-05-15 05:00:00,56.66666666666666,54.952484,2,12,44.93861,54.952484,90.08245
2016-05-15 06:00:00,51.66666666666666,56.53141,2,13,41.004555,56.53141,106.74608
2016-05-15 07:00:00,93.33333333333331,67.736755,2,14,44.16401,67.736755,135.88301
2016-05-15 08:00:00,118.33333333333331,93.84659,2,15,60.25939,93.84659,178.03918
2016-05-15 09:00:00,101.66666666666669,106.37407,2,16,66.53325,106.37407,202.13504
2016-05-15 10:00:00,108.33333333333331,113.9203,2,17,68.35267,113.9203,217.00856
2016-05-15 11:00:00,105.0,93.80197,2,18,52.87498,93.80197,198.4193
2016-05-15 12:00:00,96.66666666666669,80.00168,2,19,44.57128,80.00168,180.24643
2016-05-15 13:00:00,136.66666666666666,76.78253,2,20,46.25669,76.78253,171.21344
2016-05-15 14:00:00,88.33333333333333,72.249344,2,21,47.62799,72.249344,161.44168
2016-05-15 15:00:00,93.33333333333331,70.251495,2,22,47.09082,70.251495,160.06023
2016-05-15 16:00:00,143.33333333333334,88.79551,2,23,54.125774,88.79551,187.61147
2016-05-15 17:00:00,236.66666666666663,148.03165,2,24,92.35466,148.03165,258.5818
2016-05-15 18:00:00,98.33333333333331,185.52875,3,1,135.52371,185.52875,262.83368
2016-05-15 19:00:00,96.66666666666669,123.06803,3,2,90.38082,123.06803,188.8245
2016-05-15 20:00:00,246.66666666666663,94.89122,3,3,75.15124,94.89122,143.3482
2016-05-15 21:00:00,203.33333333333331,70.001595,3,4,60.757576,70.001595,101.33208
2016-05-15 22:00:00,86.66666666666667,59.28966,3,5,54.333984,59.28966,78.44064
2016-05-15 23:00:00,83.33333333333333,57.07867,3,6,51.940903,57.07867,68.73726
2016-05-16 00:00:00,61.66666666666666,55.944393,3,7,49.903076,55.944393,64.52649
2016-05-16 01:00:00,53.333333333333336,54.880024,3,8,48.875423,54.880024,64.0917
2016-05-16 02:00:00,56.66666666666666,53.7939,3,9,49.035336,53.7939,64.36989
2016-05-16 03:00:00,53.333333333333336,52.096127,3,10,48.380196,52.096127,64.84334
2016-05-16 04:00:00,55.0,52.58816,3,11,47.778633,52.58816,72.12537
2016-05-16 05:00:00,51.66666666666666,59.00907,3,12,49.391167,59.00907,88.769554
2016-05-16 06:00:00,53.333333333333336,61.304317,3,13,48.125603,61.304317,99.90966
2016-05-16 07:00:00,61.66666666666666,66.8457,3,14,50.68039,66.8457,112.68398
2016-05-16 08:00:00,88.33333333333333,65.14455,3,15,50.493618,65.14455,112.32703
2016-05-16 09:00:00,70.0,60.030922,3,16,49.052605,60.030922,104.36192
2016-05-16 10:00:00,148.33333333333334,62.078598,3,17,49.86829,62.078598,106.6079
2016-05-16 11:00:00,103.33333333333331,62.68406,3,18,47.86279,62.68406,109.80842
2016-05-16 12:00:00,206.66666666666663,68.157364,3,19,49.601418,68.157364,118.482285
2016-05-16 13:00:00,266.6666666666667,73.95965,3,20,53.002575,73.95965,126.170784
2016-05-16 14:00:00,88.33333333333333,71.756485,3,21,53.208145,71.756485,124.30754
2016-05-16 15:00:00,111.66666666666669,70.78349,3,22,51.927418,70.78349,128.10625
