feature,importance_MAE_increase,std
hour_cos,3.9768229976123535,1.2712196331038301
lag_168,2.90000823949243,0.4551862074249761
same_hour_mean_7d,2.5751116644021472,0.769740819258928
dow_sin,2.2203898581873895,0.22404031512118008
lag_24,1.8512776644043725,0.4343099468525474
lag_48,1.257408731031719,0.4658557669366994
roll_mean_6,0.9337227330375015,0.6144256007597794
lag_25,0.7700586678043528,0.3323585163155275
roll_std_6,0.49556780137740974,0.25102646038865245
dow_cos,0.485833393212409,0.409531586989544
roll_mean_3,0.38174948163164046,0.16284887438078421
hour,0.2337489976637009,0.44117232765297504
hour_sin,0.15730002604576682,0.6230082526248302
roll_mean_24,0.020173727942950137,0.24482182398104632
is_weekend,0.0,0.0
roll_std_3,-0.0252528807533821,0.11333359233776288
roll_std_24,-0.6449290609297741,0.19890609984490995
roll_std_168,-0.9506347475871848,0.71561859188979
roll_mean_168,-1.3086629459457462,0.5375843814276366
dayofweek,-1.5681363223308586,0.8016447541550721
