model,MAE,RMSE,MASE,Bias,class,covariates,known_at_origin
chronos_bolt_base,33.62916997718254,66.00770813062114,0.6302443487773731,-15.595866562499996,foundation,none,yes
sarima_target_only,36.785356037614356,64.20485454480196,0.6893944387030753,-4.651875965220434,SARIMAX,none,yes
feature_recursive,37.483772258026434,61.08217675652225,0.7024834586315428,0.2075627284937039,feature-based,calendar,yes
sarimax_calendar,37.89924321034038,64.25612092705799,0.7102698006659933,-4.992963956560914,SARIMAX,calendar,yes
sarimax_calendar_weather,38.37201265903381,64.74195600777469,0.7191299739475757,-3.206005821848627,SARIMAX,calendar + weather,no (conditional)
feature_restricted_24,38.55793195223329,65.75604074036733,0.7226142878318363,-4.368906247546773,feature-based,calendar,yes
feature_direct,38.58462148885767,65.27228117241404,0.72311447649663,-3.947367318175814,feature-based,calendar,yes
feature_cov_lagged,40.12060643527155,64.93191518220043,0.7519003737679953,-2.0186887148863972,feature-based,calendar + sensors + weather (lagged),yes
seasonal_naive_weekly,42.92162698412697,79.66836643932842,0.8043943060572313,-12.624007936507935,benchmark,none,yes
feature_cov_realised,45.977224485077926,68.20671339266596,0.8616592655676576,9.26541874798917,feature-based,calendar + sensors + weather (realised),no (conditional)
seasonal_naive_daily,48.392857142857146,85.79026890093793,0.9069306425395066,1.6666666666666667,benchmark,none,yes
mean,50.01008862275129,73.98593459537865,0.937239181274174,-3.061350712613547,benchmark,none,yes
naive,143.38293650793648,170.62254707812963,2.6871399296071106,114.67261904761902,benchmark,none,yes
drift,143.94198251974774,171.2599055522941,2.6976170121485366,115.31429034659298,benchmark,none,yes
