model,MAE_vs_best_benchmark,ci_lower,ci_upper,verdict
chronos_bolt_base,-9.292457006944431,-18.173056661879954,-1.5115560406993995,clearly better
sarima_target_only,-6.136270946512617,-17.537722013418655,3.535921120775192,indistinguishable
feature_recursive,-5.437854726100539,-14.929160814644902,3.03926116146006,indistinguishable
sarimax_calendar,-5.0223837737865935,-16.24685623301712,4.251218481376777,indistinguishable
sarimax_calendar_weather,-4.549614325093167,-15.132460693383878,4.248005990197917,indistinguishable
feature_restricted_24,-4.363695031893684,-11.413311280361977,1.6330844297274132,indistinguishable
feature_direct,-4.3370054952693025,-13.680888710699232,3.3498079732050545,indistinguishable
feature_cov_lagged,-2.8010205488554263,-10.4095130325619,4.243260705094774,indistinguishable
feature_cov_realised,3.0555975009509524,-5.341844208577536,11.616376275637856,indistinguishable
seasonal_naive_daily,5.471230158730172,-8.368055555555543,18.730406746031743,indistinguishable
mean,7.088461638624317,-5.283778839977374,16.376360941703254,indistinguishable
naive,100.4613095238095,61.891989087301575,143.41443452380952,clearly worse
drift,101.02035553562077,62.55303000951452,143.50828922417617,clearly worse
