p,d,q,P,D,Q,s,n_params,nobs,aic,bic,hqic,converged,seconds,error
0,0,0,1,1,1,24,3,2929,33143.84433264888,33167.73971015266,33152.45366650754,True,2.499056816101074,
0,0,1,1,1,1,24,4,2929,32653.82559780742,32683.693097627543,32664.58683319436,True,2.538535118103028,
0,0,2,1,1,1,24,5,2929,32356.028132990417,32391.867065591083,32368.94109693009,True,4.511631965637207,
0,0,3,1,1,1,24,6,2929,32257.40576756138,32299.21544305023,32272.4702869776,True,5.180145502090454,
0,0,4,1,1,1,24,7,2929,32217.48146624254,32265.261194370338,32234.69736795833,True,6.980922222137451,
0,0,5,1,1,1,24,8,2929,32186.695226835887,32240.44431699618,32206.062337573432,True,7.716760635375977,
0,0,6,1,1,1,24,9,2929,32168.465251152,32228.1830123808,32189.98339753252,True,8.759830951690674,
0,1,0,1,1,1,24,2,2928,33222.4370733083,33240.357573200374,33228.89381454046,True,2.218292474746704,
0,1,1,1,1,1,24,3,2928,32462.912208972542,32486.80483070632,32471.520851599,True,1.684520244598389,
0,1,2,1,1,1,24,4,2928,32440.29874749371,32470.16280141432,32451.05911850529,True,3.0449349880218506,
0,1,3,1,1,1,24,5,2928,32316.6392864827,32352.47408257855,32329.551212769544,True,3.89456844329834,
0,1,4,1,1,1,24,6,2928,32250.66882979744,32292.47367769989,32265.732138148865,True,3.696547508239746,
0,1,5,1,1,1,24,7,2928,32209.53244021548,32257.30664919852,32226.74695731989,True,6.689044237136841,
0,1,6,1,1,1,24,8,2928,32178.75965916729,32232.50253814721,32198.125211612096,True,8.903259992599487,
0,2,0,1,1,1,24,2,2927,36252.11246434353,36270.03193064386,36258.56894631337,True,1.122274398803711,
0,2,1,1,1,1,24,3,2927,33217.3270324808,33241.218275617284,33225.93532929006,True,2.957490921020508,
0,2,2,1,1,1,24,4,2927,32459.33198709637,32489.194317176247,32470.091925668745,True,6.271263599395752,
0,2,3,1,1,1,24,5,2927,32436.690337399687,32472.523064173216,32449.60174455805,True,8.18473219871521,
0,2,4,1,1,1,24,6,2927,32316.84172353576,32358.64415639592,32331.90442600212,True,12.806878328323364,
0,2,5,1,1,1,24,7,2927,32251.4149404025,32299.186388384656,32268.62876479789,False,22.481154441833496,
0,2,6,1,1,1,24,8,2927,32224.98849471461,32278.72826649616,32244.35326755895,False,36.44692015647888,
1,0,0,1,1,1,24,4,2929,32380.916247319656,32410.78546919937,32391.67791464299,True,2.8143234252929688,
