,value
intercept,-0.03267699340565778
hour_sin_1,-2.5874658078550485e-05
hour_cos_1,-3.607502908318962e-05
hour_sin_2,2.235493386003021e-05
hour_cos_2,-1.3285600329868738e-05
dow_sin_1,-18.75817965728672
dow_cos_1,5.889585914256705
is_weekend,-22.4779772277095
ar.L1,0.5855254345973423
ma.L1,-0.22438855486435064
ma.L2,0.14717285087185517
ma.L3,0.01563178948415725
ma.L4,0.028625978858771196
ma.L5,0.03548174354988596
ma.L6,0.014683388272944506
ma.S.L24,-0.9531727741476598
sigma2,3746.0353789578185
