,value
intercept,0.008115912042947697
hour_sin_1,-0.0004083879600133206
hour_cos_1,-0.0005108590423806471
hour_sin_2,0.0003299074548364338
hour_cos_2,-0.0001804901982947476
dow_sin_1,-17.91638886242229
dow_cos_1,4.925188562712962
is_weekend,-21.69917049305228
T_out,-33.2136431638789
RH_out,-17.384834647402133
Windspeed,2.520569881761692
Visibility,-0.47394907331895625
Tdewpoint,23.770037621284715
ar.L1,0.5909023612920093
ma.L1,-0.23002395614269172
ma.L2,0.14441073417009515
ma.L3,0.01296493586069662
ma.L4,0.0257352798557808
ma.L5,0.03468533752006642
ma.L6,0.012751746168659987
ma.S.L24,-0.953770367147268
sigma2,3732.7710895217197
